recommendation_id,recommend_date,session,rank,stock_name,stock_code,sector,score,recommend_price,latest_price,latest_update_kst,age_days,latest_return_pct,d1_return_pct,d3_return_pct,d5_return_pct,max_observed_return_pct,min_observed_return_pct,status
2026-06-06_AM_1_ACE 미국우주테크액티브,2026-06-06,AM,1,ACE 미국우주테크액티브,,금융,99.0,"25,950","25,950",2026-06-07 02:37:46,1,0.00%,0.00%,,,0.00%,0.00%,tracking_updated
2026-06-05_PM_9_SK네트웍스,2026-06-05,PM,9,SK네트웍스,,도매,71.0,"10,900","10,900",2026-06-07 02:37:46,2,0.00%,0.00%,,,0.00%,0.00%,tracking_updated
2026-06-05_PM_8_TIGER 배당커버드콜액티브,2026-06-05,PM,8,TIGER 배당커버드콜액티브,,AI/소프트웨어,67.0,"25,540","25,540",2026-06-07 02:37:46,2,0.00%,0.00%,,,0.00%,0.00%,tracking_updated
2026-06-05_PM_7_아바텍,2026-06-05,PM,7,아바텍,,반도체/전자부품,75.0,"16,150","16,150",2026-06-07 02:37:46,2,0.00%,0.00%,,,0.00%,0.00%,tracking_updated
2026-06-05_PM_6_라이콤,2026-06-05,PM,6,라이콤,,반도체/전자부품,80.0,"5,910","5,910",2026-06-07 02:37:46,2,0.00%,0.00%,,,0.00%,0.00%,tracking_updated
2026-06-05_PM_5_코칩,2026-06-05,PM,5,코칩,,반도체/전자부품,85.0,"23,500","23,500",2026-06-07 02:37:46,2,0.00%,0.00%,,,0.00%,0.00%,tracking_updated
2026-06-05_PM_4_TIGER LG그룹플러스,2026-06-05,PM,4,TIGER LG그룹플러스,,AI/소프트웨어,90.0,"15,140","15,140",2026-06-07 02:37:46,2,0.00%,0.00%,,,0.00%,0.00%,tracking_updated
2026-06-05_PM_3_LG헬로비전,2026-06-05,PM,3,LG헬로비전,,미디어/콘텐츠,98.0,"2,525","2,525",2026-06-07 02:37:46,2,0.00%,0.00%,,,0.00%,0.00%,tracking_updated
2026-06-05_PM_2_KODEX 200타겟위클리커버드콜,2026-06-05,PM,2,KODEX 200타겟위클리커버드콜,,AI/소프트웨어,86.0,"25,795","25,795",2026-06-07 02:37:46,2,0.00%,0.00%,,,0.00%,0.00%,tracking_updated
2026-06-05_PM_15_SOL AI반도체소부장,2026-06-05,PM,15,SOL AI반도체소부장,,반도체,54.0,"29,440","29,440",2026-06-07 02:37:46,2,0.00%,0.00%,,,0.00%,0.00%,tracking_updated
2026-06-05_PM_14_TIGER 미국S&P500,2026-06-05,PM,14,TIGER 미국S&P500,,AI/소프트웨어,57.0,"28,845","28,845",2026-06-07 02:37:46,2,0.00%,0.00%,,,0.00%,0.00%,tracking_updated
2026-06-05_PM_13_KODEX 미국S&P500,2026-06-05,PM,13,KODEX 미국S&P500,,AI/소프트웨어,58.0,"26,280","26,280",2026-06-07 02:37:46,2,0.00%,0.00%,,,0.00%,0.00%,tracking_updated
2026-06-05_PM_12_TIGER 미국배당다우존스,2026-06-05,PM,12,TIGER 미국배당다우존스,,AI/소프트웨어,60.0,"15,880","15,880",2026-06-07 02:37:46,2,0.00%,0.00%,,,0.00%,0.00%,tracking_updated
2026-06-05_PM_11_후성,2026-06-05,PM,11,후성,,화학,69.0,"11,630","11,630",2026-06-07 02:37:46,2,0.00%,0.00%,,,0.00%,0.00%,tracking_updated
2026-06-05_PM_10_미래에셋생명,2026-06-05,PM,10,미래에셋생명,,보험,77.0,"18,590","18,590",2026-06-07 02:37:46,2,0.00%,0.00%,,,0.00%,0.00%,tracking_updated
2026-06-05_PM_1_ACE 미국우주테크액티브,2026-06-05,PM,1,ACE 미국우주테크액티브,,금융,99.0,"25,950","25,950",2026-06-07 02:37:46,2,0.00%,0.00%,,,0.00%,0.00%,tracking_updated
2026-06-05_AM_9_LG디스플레이,2026-06-05,AM,9,LG디스플레이,,반도체/전자부품,69.0,"16,120","15,390",2026-06-05 11:49:52,0.0,-4.53%,,,,0.00%,-7.88%,tracking
2026-06-05_AM_9_SK네트웍스,2026-06-05,AM,9,SK네트웍스,,도매,69.0,"11,050","10,900",2026-06-07 02:37:46,2,-1.36%,-1.36%,,,0.72%,-1.36%,tracking_updated
2026-06-05_AM_9_M83,2026-06-05,AM,9,M83,,미디어/콘텐츠,66.0,"7,170","7,170",2026-06-05 11:49:52,0.0,0.00%,,,,0.00%,0.00%,tracking
2026-06-05_AM_8_LG헬로비전,2026-06-05,AM,8,LG헬로비전,,미디어/콘텐츠,78.0,"2,740","2,525",2026-06-07 02:37:46,2,-7.85%,-7.85%,,,0.00%,-7.85%,tracking_updated
2026-06-05_AM_8_TIGER 배당커버드콜액티브,2026-06-05,AM,8,TIGER 배당커버드콜액티브,,AI/소프트웨어,64.0,"25,170","25,540",2026-06-07 02:37:46,2,1.47%,1.47%,,,3.32%,0.00%,tracking_updated
2026-06-05_AM_8_진양화학,2026-06-05,AM,8,진양화학,,고무/플라스틱,69.0,"2,255","2,255",2026-06-05 11:49:52,0.0,0.00%,,,,0.00%,0.00%,tracking
2026-06-05_AM_7_KODEX 2차전지산업,2026-06-05,AM,7,KODEX 2차전지산업,,AI/소프트웨어,67.0,"18,830","18,830",2026-06-05 03:23:08,0.0,0.00%,,,,0.00%,0.00%,tracking
2026-06-05_AM_7_KODEX 200타겟위클리커버드콜,2026-06-05,AM,7,KODEX 200타겟위클리커버드콜,,AI/소프트웨어,65.0,"25,375","25,795",2026-06-07 02:37:46,2,1.66%,1.66%,,,3.43%,0.00%,tracking_updated
