순위,종목명,시장,섹터/분야,후보출처,현재가,점수,진입판정,전략요약
1,대원강업,KOSPI/KOSDAQ,자동차/부품,NAVER,5130,90,조건 확인 후 진입,"익절 +3% / +5% / +10%
(70%) / (20%) / (10%) / 손절 -2% / -4% / -6%
(80%) / (10%) / (10%)"
2,TIGER 미국배당다우존스,KOSPI/KOSDAQ,AI/소프트웨어,NAVER,15570,87,조건 확인 후 진입,"익절 +3% / +5% / +10%
(70%) / (20%) / (10%) / 손절 -2% / -4% / -6%
(80%) / (10%) / (10%)"
3,후성,KOSPI/KOSDAQ,화학,NAVER,13370,81,조건 확인 후 진입,"익절 +5% / +10% / +30%
(60%) / (30%) / (10%) / 손절 -2% / -4% / -6%
(80%) / (10%) / (10%)"
4,화신정공,KOSPI/KOSDAQ,자동차/부품,NAVER,3410,81,조건 확인 후 진입,"익절 +3% / +5% / +10%
(70%) / (20%) / (10%) / 손절 -2% / -4% / -6%
(80%) / (10%) / (10%)"
5,LG헬로비전,KOSPI/KOSDAQ,미디어/콘텐츠,NAVER,2355,76,조건 확인 후 진입,"익절 +3% / +5% / +10%
(70%) / (20%) / (10%) / 손절 -2% / -4% / -6%
(80%) / (10%) / (10%)"
6,KODEX 은행,KOSPI/KOSDAQ,AI/소프트웨어,NAVER,15260,75,조건 확인 후 진입,"익절 +3% / +5% / +10%
(70%) / (20%) / (10%) / 손절 -2% / -4% / -6%
(80%) / (10%) / (10%)"
7,ACE 미국우주테크액티브,KOSPI/KOSDAQ,금융,NAVER,25650,69,조건 확인 후 진입,"익절 +3% / +5% / +10%
(70%) / (20%) / (10%) / 손절 -2% / -4% / -6%
(80%) / (10%) / (10%)"
8,SK네트웍스,KOSPI/KOSDAQ,도매,NAVER,13370,68,조건 확인 후 진입,"익절 +3% / +5% / +10%
(70%) / (20%) / (10%) / 손절 -2% / -4% / -6%
(80%) / (10%) / (10%)"
