순위,종목명,시장,섹터/분야,후보출처,현재가,점수,진입판정,전략요약
1,TIGER 미국배당다우존스,KOSPI/KOSDAQ,AI/소프트웨어,NAVER,15670,87,조건 확인 후 진입,"익절 +3% / +5% / +10%
(70%) / (20%) / (10%) / 손절 -2% / -4% / -6%
(80%) / (10%) / (10%)"
2,RISE 200위클리커버드콜,KOSPI/KOSDAQ,AI/소프트웨어,NAVER,14200,75,조건 확인 후 진입,"익절 +3% / +5% / +10%
(70%) / (20%) / (10%) / 손절 -2% / -4% / -6%
(80%) / (10%) / (10%)"
3,한켐,KOSPI/KOSDAQ,화학,NAVER,13050,71,조건 확인 후 진입,"익절 +5% / +10% / +20%
(60%) / (30%) / (10%) / 손절 -2% / -4% / -6%
(80%) / (10%) / (10%)"
4,라이콤,KOSPI/KOSDAQ,반도체/전자부품,NAVER,6750,64,조건 확인 후 진입,"익절 +3% / +5% / +10%
(70%) / (20%) / (10%) / 손절 -2% / -4% / -6%
(80%) / (10%) / (10%)"
5,TIGER 미국S&P500,KOSPI/KOSDAQ,AI/소프트웨어,NAVER,28170,63,조건 확인 후 진입,"익절 +3% / +5% / +10%
(70%) / (20%) / (10%) / 손절 -2% / -4% / -6%
(80%) / (10%) / (10%)"
6,KODEX 미국S&P500,KOSPI/KOSDAQ,AI/소프트웨어,NAVER,25695,62,조건 확인 후 진입,"익절 +3% / +5% / +10%
(70%) / (20%) / (10%) / 손절 -2% / -4% / -6%
(80%) / (10%) / (10%)"
7,KODEX 미국나스닥100,KOSPI/KOSDAQ,AI/소프트웨어,NAVER,29585,61,조건 확인 후 진입,"익절 +10% / +20% / +30%
(50%) / (30%) / (20%) / 손절 -3% / -5% / -10%
(70%) / (20%) / (10%)"
8,KODEX 200타겟위클리커버드콜,KOSPI/KOSDAQ,AI/소프트웨어,NAVER,23595,61,조건 확인 후 진입,"익절 +3% / +5% / +10%
(70%) / (20%) / (10%) / 손절 -2% / -4% / -6%
(80%) / (10%) / (10%)"
