label,filename,url,source,size_kb,published_at
최신 전체 엑셀 리포트,latest_stock_report.xlsx,./latest_stock_report.xlsx,20260609.xlsx,3508.4,2026-06-09 03:52:26 KST
상세 엑셀 파일 1,stock_report_1_20260609.xlsx,./stock_report_1_20260609.xlsx,20260609.xlsx,3508.4,2026-06-09 03:52:26 KST
상세 엑셀 파일 2,stock_report_2_20260609.xlsx,./stock_report_2_20260609.xlsx,docs/reports/20260609_AM/20260609.xlsx,3430.4,2026-06-09 03:52:26 KST
상세 엑셀 파일 3,stock_report_3_20260609.xlsx,./stock_report_3_20260609.xlsx,docs/reports/20260609/20260609.xlsx,3430.4,2026-06-09 03:52:26 KST
상세 엑셀 파일 4,stock_report_4_20260609.xlsx,./stock_report_4_20260609.xlsx,stock_report/docs/reports/20260609/20260609.xlsx,3402.4,2026-06-09 03:52:26 KST
상세 엑셀 파일 5,stock_report_5_20260609.xlsx,./stock_report_5_20260609.xlsx,stock_report/reports/20260609/20260609.xlsx,3402.4,2026-06-09 03:52:26 KST
