label,filename,url,source,size_kb,published_at
최신 전체 엑셀 리포트,latest_stock_report.xlsx,./latest_stock_report.xlsx,20260612.xlsx,2974.1,2026-06-12 16:37:46 KST
최근 원본 백업 1,stock_report_1_20260612.xlsx,./stock_report_1_20260612.xlsx,docs/reports/20260612_PM/20260612.xlsx,2893.6,2026-06-12 16:37:46 KST
최근 원본 백업 2,stock_report_2_20260612.xlsx,./stock_report_2_20260612.xlsx,docs/reports/20260612/20260612.xlsx,2893.6,2026-06-12 16:37:46 KST
최근 원본 백업 3,stock_report_3_20260612.xlsx,./stock_report_3_20260612.xlsx,stock_report/docs/reports/20260612/20260612.xlsx,2864.4,2026-06-12 16:37:46 KST
최근 원본 백업 4,stock_report_4_20260612.xlsx,./stock_report_4_20260612.xlsx,stock_report/latest/20260612.xlsx,2864.4,2026-06-12 16:37:46 KST
