순위,종목명,시장,섹터/분야,후보출처,현재가,점수,진입판정,전략요약
1,드림텍,KOSPI/KOSDAQ,반도체/전자부품,NAVER,6310,100,조건 확인 후 진입,"익절 +3% / +5% / +10%
(70%) / (20%) / (10%) / 손절 -2% / -4% / -6%
(80%) / (10%) / (10%)"
2,ACE 미국우주테크액티브,KOSPI/KOSDAQ,금융,NAVER,27100,97,조건 확인 후 진입,"익절 +3% / +5% / +10%
(70%) / (20%) / (10%) / 손절 -2% / -4% / -6%
(80%) / (10%) / (10%)"
3,위더스제약,KOSPI/KOSDAQ,제약/바이오,"NAVER,TOSS_CSV",8360,92,조건 확인 후 진입,"익절 +3% / +5% / +10%
(70%) / (20%) / (10%) / 손절 -2% / -4% / -6%
(80%) / (10%) / (10%)"
4,대한항공,KOSPI/KOSDAQ,항공운송,NAVER,29950,89,조건 확인 후 진입,"익절 +3% / +5% / +10%
(70%) / (20%) / (10%) / 손절 -2% / -4% / -6%
(80%) / (10%) / (10%)"
5,HMM,KOSPI/KOSDAQ,해운/항공,NAVER,21450,83,조건 확인 후 진입,"익절 +3% / +5% / +10%
(70%) / (20%) / (10%) / 손절 -2% / -4% / -6%
(80%) / (10%) / (10%)"
6,희림,KOSPI/KOSDAQ,건축/엔지니어링,NAVER,5725,78,조건 확인 후 진입,"익절 +3% / +5% / +10%
(70%) / (20%) / (10%) / 손절 -5% / -10% / -15%
(50%) / (30%) / (20%)"
7,유바이오로직스,KOSPI/KOSDAQ,제약/바이오,"NAVER,TOSS_CSV",10760,64,조건 확인 후 진입,"익절 +10% / +20% / +40%
(40%) / (30%) / (30%) / 손절 -3% / -5% / -10%
(70%) / (20%) / (10%)"
8,에이팩트,KOSPI/KOSDAQ,반도체/전자부품,NAVER,12380,63,조건 확인 후 진입,"익절 +3% / +5% / +10%
(70%) / (20%) / (10%) / 손절 -2% / -4% / -6%
(80%) / (10%) / (10%)"
